,L_1_values,L_inf_values
385,4.4354349396661664e-05,2.1374180909195303e-06
386,4.577897569841516e-05,2.245033092500669e-06
387,4.558601943190794e-05,2.2376448923395253e-06
388,4.487748022342649e-05,2.12517752839634e-06
389,4.490283484749477e-05,2.1203824815186666e-06
390,4.4408606994494055e-05,2.1380772805183275e-06
391,4.562888373637039e-05,2.226308635199957e-06
392,4.48297580275567e-05,2.1768896018020976e-06
393,4.471577754333987e-05,2.114167548758988e-06
394,4.486600595049248e-05,2.116827037486102e-06
395,4.562836985216894e-05,2.2881770272492498e-06
396,4.4858088510957715e-05,2.1992135676146057e-06
397,4.444777663973376e-05,2.131105956386783e-06
398,4.4496871429186016e-05,2.119240941581961e-06
399,4.4983479802211436e-05,2.1478111044853618e-06
400,4.455948808749702e-05,2.102672959422754e-06
401,4.498601780955596e-05,2.178745268415675e-06
402,4.558836069376105e-05,2.2408932643423725e-06
403,4.423572506340723e-05,2.1441928596553767e-06
404,4.417970862096728e-05,2.347052512098843e-06
405,4.5016182259309706e-05,2.1933798967875373e-06
406,4.472230780404198e-05,2.1401710307212558e-06
407,4.530941312964869e-05,2.20375501484717e-06
408,4.513127037113916e-05,2.1509742859986887e-06
409,4.474353317953705e-05,2.1234632054698855e-06
410,4.4818476341831075e-05,2.1654021531437645e-06
411,4.4542897149909695e-05,2.1665741227292285e-06
412,4.5540960609888585e-05,2.2359317001681727e-06
413,4.4199737390163614e-05,2.0932803415219198e-06
414,4.4955460636956854e-05,2.1470391343807987e-06
415,4.4525702495342325e-05,2.1548330802009614e-06
416,4.396688960832283e-05,2.159442832654414e-06
417,4.3469674870239804e-05,2.2668925206675338e-06
418,4.400040461226014e-05,2.081028296290892e-06
419,4.491731988025247e-05,2.1575478252753876e-06
420,4.484175063821582e-05,2.197037407020442e-06
421,4.471957927257437e-05,2.1403714282805174e-06
422,4.455946057875117e-05,2.1029952752923042e-06
423,4.402767342925256e-05,2.1354789415354306e-06
424,4.442608709376856e-05,2.170000148117886e-06
425,4.4934651392611305e-05,2.1433848789394837e-06
426,4.4961482590638904e-05,2.1086877251993827e-06
427,4.463483539922409e-05,2.1178187092862093e-06
428,4.435181664574904e-05,2.1382199866482318e-06
429,4.3803814816437704e-05,2.096860773789184e-06
430,4.444074467619954e-05,2.216468396163047e-06
431,4.442694844458663e-05,2.18477227841617e-06
432,4.486890759763453e-05,2.1344312342604307e-06
433,4.492340830128457e-05,2.120691157658537e-06
434,4.4611842421222045e-05,2.128535114506662e-06
435,4.472768753141613e-05,2.1242064029384397e-06
436,4.377594703923625e-05,2.3208362838748418e-06
