,L_1_values,L_inf_values
483,2.1708033232567227e-05,4.65702853457727e-07
484,2.172548140052934e-05,4.6588582234361213e-07
485,2.1723173175960366e-05,4.6528211350451594e-07
486,2.1727722996688672e-05,4.654666347406413e-07
487,2.1725570860058517e-05,4.656236975244592e-07
488,2.1708702197794932e-05,4.6436382013667956e-07
489,2.1722220055778957e-05,4.627187740768339e-07
490,2.1716229182881715e-05,4.595795445751101e-07
491,2.1716229182881715e-05,4.595795445751101e-07
492,2.1727893740871455e-05,4.5811951707464083e-07
493,2.1736655386751312e-05,4.5814408776099076e-07
494,2.1746797082086185e-05,4.58461305919625e-07
495,2.176750992906767e-05,4.5624434679182726e-07
496,2.1776592298357322e-05,4.5606599906426415e-07
497,2.178612300857737e-05,4.565021653360814e-07
498,2.1776215972623384e-05,4.583181748317258e-07
499,2.175996526111966e-05,4.5957473183959657e-07
500,2.176533817243397e-05,4.5976486829346755e-07
501,2.176985347787271e-05,4.5988096489673474e-07
502,2.1755230725726787e-05,4.5994622745659196e-07
503,2.1755076539709064e-05,4.6198518207536795e-07
504,2.175760059261187e-05,4.639302167054559e-07
505,2.1737273500388727e-05,4.633947476013851e-07
506,2.1712668933586954e-05,4.652467044099125e-07
507,2.171086421536862e-05,4.696722853284422e-07
508,2.171407029587188e-05,4.694809362065386e-07
509,2.1710204213894242e-05,4.6961304010295135e-07
510,2.1712955591429623e-05,4.69581634581299e-07
511,2.1723295695885453e-05,4.6934119713162484e-07
512,2.1731444634076034e-05,4.691929036472474e-07
513,2.17260370210567e-05,4.6957434619585904e-07
514,2.1720677011625843e-05,4.68932207981886e-07
515,2.1713267005237026e-05,4.703402229860463e-07
516,2.1707470022896506e-05,4.694960421918472e-07
517,2.1710412717504565e-05,4.673340321125321e-07
518,2.1710670715029025e-05,4.6778713364060065e-07
519,2.169321441281236e-05,4.686688314490346e-07
520,2.1698935593195146e-05,4.7154146550236637e-07
521,2.1658938821933678e-05,4.703740384178505e-07
522,2.1647785739625597e-05,4.716833201725403e-07
523,2.1625819040381646e-05,4.6385475193722903e-07
524,2.1607739828724025e-05,4.6214004385930124e-07
525,2.159439313326993e-05,4.6004385348019524e-07
526,2.1595630371424106e-05,4.6172390072100804e-07
527,2.1578207301073276e-05,4.6145010247914133e-07
528,2.159461617909335e-05,4.6065352107348344e-07
529,2.1622872986215083e-05,4.6024447624464877e-07
530,2.1625377430728443e-05,4.5987147612398096e-07
531,2.1640828038938174e-05,4.5858262662918075e-07
532,2.1644531100859463e-05,4.539112327522653e-07
533,2.1646245768773363e-05,4.531609551408583e-07
534,2.165009070781254e-05,4.5010226832875753e-07
535,2.1649985165727963e-05,4.5239163344716874e-07
536,2.1640199439481907e-05,4.537509775891514e-07
537,2.1646919900595465e-05,4.549923979096195e-07
538,2.1646548063004667e-05,4.5656130043432865e-07
539,2.1635767055392563e-05,4.5169098551732714e-07
540,2.164564441424956e-05,4.5154344003316374e-07
541,2.165082904890875e-05,4.517650159183204e-07
542,2.1645765206571732e-05,4.5191003157136134e-07
543,2.1647313624716564e-05,4.5171465314451055e-07
544,2.164164731848148e-05,4.5187503908597686e-07
545,2.1637807089518752e-05,4.5193376307743283e-07
546,2.1631253286273726e-05,4.5442054067708067e-07
547,2.162749343557196e-05,4.562202907426011e-07
548,2.163407483893797e-05,4.562838090179624e-07
549,2.1643405162164536e-05,4.5632234975785123e-07
550,2.1639413391090254e-05,4.566690747347228e-07
551,2.163702103453743e-05,4.5912015216947585e-07
552,2.162301555449095e-05,4.603853283732205e-07
553,2.1629437316537023e-05,4.5713445240295334e-07
554,2.162405950483164e-05,4.5764470491591793e-07
555,2.161181167440125e-05,4.563886882213077e-07
556,2.1610030290825293e-05,4.5663848224819467e-07
557,2.1597326705129177e-05,4.5673590408770096e-07
558,2.159269683644651e-05,4.567725116687261e-07
559,2.1611495279430712e-05,4.6462184963484074e-07
560,2.160627366679205e-05,4.6426041963195057e-07
